Price,Residual,Residualsq,Residual-cub,Residual-four,Residual-five,Residual-Six,Residual-Seven
0.123612,0.20440789,0.041782585,0.00854069,0.001745784,0.000356852,7.29434E-05,1.49102E-05
0.272178973,0.235416362,0.055420864,0.013046978,0.003071472,0.000723075,0.000170224,4.00734E-05
0.326259981,0.260067847,0.067635285,0.017589763,0.004574532,0.001189689,0.0003094,8.0465E-05
0.333683359,0.266753044,0.071157186,0.018981396,0.005063345,0.001350663,0.000360293,9.61094E-05
0.275221653,0.27239624,0.074199711,0.020211722,0.005505597,0.001499704,0.000408514,0.000111278
0.347794233,0.267708626,0.071667908,0.019186117,0.005136289,0.001375029,0.000368107,9.85455E-05
0.311799623,0.279976517,0.07838685,0.021946477,0.006144498,0.001720315,0.000481648,0.00013485
0.313464512,0.285890185,0.081733198,0.023366719,0.006680316,0.001909837,0.000546004,0.000156097
0.401671577,0.28123594,0.079093654,0.022243978,0.006255806,0.001759358,0.000494795,0.000139154
0.410577871,0.281076263,0.079003866,0.022206111,0.006241611,0.001754369,0.000493111,0.000138602
0.355075527,0.28763025,0.08273116,0.023795984,0.006844445,0.001968669,0.000566249,0.00016287
0.324711571,0.289655904,0.083900543,0.024302288,0.007039301,0.002038975,0.000590601,0.000171071
0.452336762,0.29420601,0.086557176,0.025465642,0.007492145,0.002204234,0.000648499,0.000190792
0.35195246,0.300025434,0.090015261,0.027006868,0.008102747,0.00243103,0.000729371,0.00021883
0.309163333,0.29270831,0.085678155,0.025078708,0.007340746,0.002148697,0.000628941,0.000184096
0.390090766,0.302909883,0.091754397,0.027793314,0.008418869,0.002550159,0.000772468,0.000233988
0.292620979,0.299709787,0.089825956,0.026921718,0.008068702,0.002418269,0.000724779,0.000217223
0.350227094,0.30092501,0.090555862,0.027250524,0.008200364,0.002467695,0.000742591,0.000223464
0.282729015,0.311323496,0.096922319,0.030174195,0.009393936,0.002924553,0.000910482,0.000283454
0.298200844,0.30462655,0.092797335,0.028268532,0.008611345,0.002623244,0.00079911,0.00024343
0.370506431,0.320613366,0.10279293,0.032956787,0.010566387,0.003387725,0.00108615,0.000348234
0.43967831,0.306010586,0.093642479,0.02865559,0.008768914,0.00268338,0.000821143,0.000251278
0.284544356,0.329260573,0.108412525,0.03569597,0.011753276,0.00386989,0.001274202,0.000419545
0.359312261,0.313618386,0.098356492,0.030846404,0.009674,0.003033944,0.000951501,0.000298408
0.403324856,0.314066233,0.098637599,0.030978739,0.009729376,0.003055668,0.000959682,0.000301404
0.392576706,0.323090897,0.104387728,0.033726725,0.010896798,0.003520656,0.001137492,0.000367513
0.458457712,0.321545465,0.103391486,0.033245064,0.010689799,0.003437257,0.001105234,0.000355383
0.484216874,0.318119878,0.101200257,0.032193813,0.010241492,0.003258022,0.001036442,0.000329713
0.413373522,0.314909596,0.099168054,0.031228972,0.009834303,0.003096916,0.000975249,0.000307115
0.391234176,0.335685697,0.112684887,0.037826705,0.012697884,0.004262498,0.00143086,0.000480319
0.484148179,0.330121178,0.108979992,0.035976603,0.011876639,0.00392073,0.001294316,0.000427281
0.444022428,0.325906819,0.106215255,0.034616276,0.01128168,0.003676777,0.001198287,0.00039053
0.449878427,0.323427801,0.104605543,0.033832341,0.01094232,0.00353905,0.001144627,0.000370204
0.448653913,0.324680153,0.105417202,0.034226873,0.011112786,0.003608101,0.001171479,0.000380356
0.4579308,0.314543884,0.098937855,0.031120297,0.009788699,0.003078975,0.000968473,0.000304627
0.45376594,0.324545055,0.105329493,0.034184166,0.011094302,0.003600601,0.001168557,0.000379249
0.525005587,0.325872218,0.106192702,0.034605251,0.01127689,0.003674825,0.001197523,0.00039024
0.536976048,0.340946692,0.116244646,0.039633228,0.013512818,0.004607151,0.001570793,0.000535557
0.431686348,0.33769688,0.114039183,0.038510676,0.013004935,0.004391726,0.001483072,0.000500829
0.50935925,0.324246826,0.105136004,0.034090016,0.011053579,0.003584088,0.001162129,0.000376817
0.436367607,0.325523763,0.10596572,0.03449436,0.011228734,0.00365522,0.001189861,0.000387328
0.483264764,0.335162882,0.112334157,0.03765024,0.012618963,0.004229408,0.001417541,0.000475107
0.589712832,0.348476931,0.121436171,0.042317704,0.014746744,0.0051389,0.001790788,0.000624048
0.539466895,0.326745641,0.106762714,0.034884251,0.011398277,0.003724337,0.001216911,0.00039762
0.490911341,0.33968002,0.115382516,0.039193135,0.013313125,0.004522203,0.001536102,0.000521783
0.516320116,0.350445191,0.122811832,0.043038816,0.015082746,0.005285676,0.00185234,0.000649144
0.540967487,0.347410157,0.120693817,0.041930258,0.014566998,0.005060723,0.001758147,0.000610798
0.599506014,0.338415655,0.114525156,0.038757106,0.013116011,0.004438664,0.001502113,0.000508339
0.490481506,0.346961219,0.120382088,0.041767916,0.014491847,0.005028109,0.001744559,0.000605294
0.604078713,0.335738294,0.112720202,0.037844488,0.012705844,0.004265838,0.001432205,0.000480846
0.552450292,0.350958961,0.123172193,0.043228385,0.015171389,0.005324535,0.001868693,0.000655835
0.571824499,0.335613901,0.112636691,0.037802439,0.012687024,0.004257942,0.001429025,0.0004796
0.585586212,0.340987314,0.116272348,0.039647396,0.013519259,0.004609896,0.001571916,0.000536003
0.599451658,0.340638351,0.116034486,0.039525796,0.013464002,0.004586355,0.001562288,0.000532175
0.62646099,0.346421923,0.120008148,0.041573454,0.014401956,0.004989153,0.001728352,0.000598739
0.600912782,0.361754992,0.130866675,0.047341673,0.017126087,0.006195447,0.002241234,0.000810778
0.5176654,0.343753442,0.118166429,0.040620117,0.013963305,0.004799934,0.001649994,0.000567191
0.607797691,0.352232255,0.124067561,0.043700597,0.01539276,0.005421826,0.001909742,0.000672673
0.576834179,0.359488121,0.129231709,0.046457264,0.016700835,0.006003752,0.002158278,0.000775875
0.593758393,0.35106274,0.123245047,0.043266744,0.015189342,0.005332412,0.001872011,0.000657193
0.607085423,0.339876462,0.115516009,0.039261172,0.013343948,0.004535294,0.00154144,0.000523899
0.60351706,0.359460958,0.129212181,0.046446734,0.016695788,0.006001484,0.002157299,0.000775465
0.666468984,0.367175252,0.134817666,0.049501711,0.018175803,0.006673705,0.002450419,0.000899733
0.592231231,0.338860458,0.11482641,0.03891013,0.013185104,0.004467911,0.001513998,0.000513034
0.718719683,0.357716208,0.127960885,0.045773683,0.016373988,0.005857241,0.00209523,0.000749498
0.650675748,0.362192618,0.131183493,0.047513693,0.017209109,0.006233012,0.002257551,0.000817668
0.617949248,0.36446886,0.13283755,0.04841515,0.017645815,0.00643135,0.002344027,0.000854325
0.556078741,0.356734363,0.127259405,0.045397803,0.016194956,0.005777297,0.00206096,0.000735215
0.596660199,0.355256654,0.12620729,0.04483598,0.01592828,0.005658627,0.002010265,0.00071416
0.618068118,0.355886729,0.126655364,0.045074963,0.016041581,0.005708986,0.002031752,0.000723074
0.606208852,0.392389151,0.153969246,0.060415862,0.023706529,0.009302185,0.003650076,0.00143225
0.595100007,0.371268022,0.137839944,0.051175563,0.01899985,0.007054037,0.002618938,0.000972328
0.589167444,0.370165403,0.137022426,0.050720962,0.018775145,0.006949909,0.002572616,0.000952293
0.631233998,0.363128566,0.131862355,0.047882988,0.017387681,0.006313964,0.002292781,0.000832574
0.645481057,0.377257751,0.14232341,0.05369261,0.020255953,0.007641715,0.002882896,0.001087595
0.655260686,0.382842418,0.146568317,0.056112569,0.021482272,0.008224325,0.00314862,0.001205425
0.61391564,0.359759034,0.129426562,0.046562375,0.016751235,0.006026408,0.002168055,0.000779977
0.629628978,0.367988587,0.1354156,0.049831395,0.018337385,0.006747948,0.002483168,0.000913777
0.636395477,0.37495605,0.140592039,0.052715836,0.019766121,0.007411427,0.002778959,0.001041988
0.640525502,0.385772209,0.148820197,0.057410696,0.022147451,0.008543871,0.003295988,0.001271501
0.719001896,0.367658543,0.135172804,0.049697436,0.018271687,0.006717742,0.002469835,0.000908056
0.64158388,0.367608637,0.13513611,0.049677201,0.018261768,0.006713184,0.002467824,0.000907194
0.500867351,0.379472395,0.143999299,0.054643759,0.020735798,0.007868663,0.00298594,0.001133082
0.613072294,0.376819962,0.141993283,0.053505904,0.020162093,0.007597479,0.002862882,0.001078791
0.673614094,0.368017112,0.135436595,0.049842984,0.018343071,0.006750564,0.002484323,0.000914273
0.625322146,0.382781688,0.146521821,0.05608587,0.021468644,0.008217804,0.003145625,0.001204088
0.659800813,0.374422319,0.140192073,0.052491041,0.019653817,0.007358828,0.002755309,0.001031649
0.65245905,0.36376536,0.132325237,0.048135337,0.017509968,0.00636952,0.002317011,0.000842848
0.646447324,0.38435839,0.147731372,0.056781792,0.021824558,0.008388452,0.003224172,0.001239238
0.600171974,0.393219832,0.154621836,0.060800372,0.023907912,0.009401065,0.003696685,0.00145361
0.664661425,0.388848186,0.151202911,0.058794978,0.02286232,0.008889972,0.003456849,0.00134419
0.710013983,0.397733715,0.158192108,0.062918335,0.025024743,0.009953184,0.003958717,0.001574515
0.619688267,0.380869347,0.145061459,0.055249463,0.021042827,0.008014568,0.003052503,0.001162605
