Price,Residual,Residualsq,Residual-cub,Residual-four,Residual-five
0.116122486,0.196066805,0.038442192,0.007537238,0.001477802,0.000289748
0.131101513,0.212748974,0.045262126,0.009629471,0.00204866,0.00043585
0.221324021,0.225467244,0.050835478,0.011461735,0.002584246,0.000582663
0.323033924,0.245365481,0.060204219,0.014772037,0.003624548,0.000889339
0.340047482,0.249838407,0.06241923,0.015594721,0.00389616,0.00097341
0.31247248,0.270297287,0.073060624,0.019748088,0.005337855,0.001442808
0.273933605,0.268414921,0.07204657,0.019338374,0.005190708,0.001393264
0.393433114,0.265091166,0.070273326,0.018628838,0.00493834,0.00130911
0.208519518,0.274198602,0.075184873,0.020615587,0.005652765,0.00154998
0.341923788,0.270593878,0.073221047,0.019813167,0.005361322,0.001450741
0.288442166,0.263813711,0.069597674,0.018360821,0.004843836,0.00127787
0.407146301,0.27160354,0.073768483,0.020035781,0.005441789,0.001478009
0.335336843,0.285141668,0.081305771,0.023183663,0.006610628,0.001884966
0.288262404,0.274811365,0.075521286,0.020754108,0.005703465,0.001567377
0.354865312,0.273230448,0.074654878,0.020397986,0.005573351,0.001522809
0.272063712,0.298549922,0.089132056,0.026610368,0.007944523,0.002371837
0.37667282,0.278929134,0.077801462,0.021701094,0.006053067,0.001688377
0.426670333,0.283542746,0.080396489,0.022795841,0.006463595,0.001832706
0.441424518,0.274053757,0.075105462,0.020582934,0.00564083,0.001545891
0.379731223,0.288098769,0.083000901,0.023912457,0.00688915,0.001984755
0.401418081,0.27529576,0.075787756,0.020864048,0.005743784,0.001581239
0.308732973,0.299964739,0.089978845,0.026990481,0.008096192,0.002428572
0.335917312,0.296879679,0.088137544,0.026166246,0.007768227,0.002306229
0.31350583,0.282432129,0.079767907,0.02252902,0.006362919,0.001797093
0.416989014,0.29319263,0.085961919,0.025203401,0.007389451,0.002166533
0.48768451,0.29521939,0.087154488,0.025729695,0.007595905,0.002242458
0.40453084,0.300194854,0.09011695,0.027052645,0.008121065,0.002437902
0.29937408,0.299856015,0.08991363,0.026961143,0.008084461,0.002424174
0.44348779,0.298817836,0.089292099,0.026682072,0.007973079,0.002382498
0.174838877,0.286598784,0.082138863,0.023540898,0.006746793,0.001933623
0.343746567,0.296947199,0.088177639,0.026184103,0.007775296,0.002308852
0.436434966,0.308872567,0.095402263,0.029467142,0.009101592,0.002811232
0.387326911,0.291917024,0.085215549,0.024875869,0.00726169,0.002119811
0.197915047,0.30750255,0.094557818,0.02907677,0.008941181,0.002749436
0.358808567,0.314576982,0.098958678,0.031130122,0.00979282,0.003080596
0.341645622,0.287273038,0.082525798,0.023707437,0.006810507,0.001956475
0.242300894,0.311750341,0.097188275,0.030298478,0.009445561,0.002944657
0.323157137,0.310896651,0.096656728,0.030050253,0.009342523,0.002904559
0.287864726,0.306730401,0.094083539,0.028858282,0.008851712,0.002715089
0.308536961,0.302522699,0.091519983,0.027686872,0.008375907,0.002533902
0.40159675,0.324048689,0.105007553,0.03402756,0.011026586,0.003573151
0.339416112,0.317178042,0.100601911,0.031908717,0.010120744,0.003210078
0.476229242,0.314750759,0.09906804,0.031181741,0.009814477,0.003089114
0.403127378,0.297270412,0.088369698,0.026269697,0.007809204,0.002321445
0.301878744,0.32649176,0.106596869,0.034803,0.011362893,0.003709891
0.267209968,0.332029386,0.110243513,0.036604086,0.012153632,0.004035363
0.426350523,0.306003908,0.093638392,0.028653714,0.008768148,0.002683088
0.292273998,0.321232864,0.103190553,0.033148197,0.01064829,0.003420581
0.475297686,0.308844444,0.09538489,0.029459093,0.009098277,0.002809952
0.331352026,0.319288022,0.101944841,0.032549767,0.010392751,0.003318281
0.373821469,0.330983897,0.10955034,0.036259399,0.012001277,0.003972229
