Wind Market Share,Nuclear MS 0%,Nuclear MS 10%,Nuclear MS 20%,Nuclear MS 30%,Nuclear MS 40%
0.02,1.056254546901688,1.0710816311272087,1.091183165366054,1.1196295116874693,1.1581633334944677
0.04,1.0507405785466373,1.0643285958086528,1.0828240975409598,1.1081739069610435,1.138149620211554
0.06,1.0446960877696212,1.0570939559555315,1.0734036736481505,1.0945464923736525,1.1120217110251027
0.08,1.0381042889438088,1.0490876571808179,1.0625933431361698,1.0776378551376558,1.078013096501003
0.1,1.0309971177298722,1.0401558996057083,1.0501856781737549,1.056330895669149,1.0355414916138146
0.12,1.0232971246896534,1.0300945552846166,1.0355894560654673,1.0297536020898876,0.9824378414144126
0.14,1.0148984997344277,1.0186508456071273,1.0178851627570533,0.9971785714502983,0.917267828194597
0.16,1.0055410663212712,1.0056007721180682,0.9964925560669874,0.9572380824454834,0.8410355484945635
0.18,0.9949468647105756,0.9902462250787852,0.9706896269632496,0.9075364900643978,0.7587600908243086
0.2,0.982896959551158,0.9720676618043582,0.9400093422263281,0.847541269412193,0.6745826009669407
0.22,0.9692271984082816,0.9509517500680981,0.9022729487431471,0.7769849937758027,0.5968887975868475
0.24,0.9534294374902156,0.9261005220282619,0.8561821060692897,0.69761083348344,0.5303678470747176
0.26,0.9354630013975744,0.8960387943297216,0.8006428698711471,0.6140603785430458,0.48020022283004293
0.28,0.9144029898975532,0.8595508684781802,0.734540237914387,0.5334415730545199,0.4450692493025755
0.3,0.8898310906322929,0.8160539023303627,0.6581057358519533,0.4648277221418595,0.418581781387909
0.32,0.8598760045486424,0.7630464476841654,0.5729022928289023,0.4174418716305145,0.39710903465356157
0.34,0.8243514416400828,0.6992952282698022,0.4886077868893568,0.38750598499078986,0.3788996382118107
0.36,0.7816843335569662,0.6234573725822882,0.4194123181436814,0.3664743299355194,0.3629781623309636
0.38,0.7293109859846401,0.5372574549985198,0.37261220452940685,0.3506421904584276,0.34875476604721223
0.4,0.6651942709228631,0.45368675408322257,0.3433371915479013,0.33791145379133797,0.33577090007098415
0.42,0.5878714442288325,0.38597179277929894,0.323960097549038,0.3273893546541942,0.32385330656327277
0.44,0.5047456515951307,0.33706359130431873,0.3107382951458968,0.31810923051598816,0.31283521291612953
0.46,0.42509839292033796,0.3064593374358554,0.3014087335229828,0.30964183763511566,0.3026077814579343
0.48,0.3578431710459854,0.2864445061437326,0.29455258499634285,0.30177956834720043,0.2931173630979808
0.5,0.3074511445566409,0.27373088795525763,0.28897843454597744,0.29432372780464616,0.28432201737860796
