Wind Market Share,LTS 0%,LTS 10%,LTS 20%,LTS 30%,LTS 40%
0.02,1.091183165366054,1.0788316633468518,1.061491368754315,1.0370552295905802,1.00199058743093
0.04,1.0828240975409598,1.0745897727530533,1.060242260453748,1.0372108691169417,1.0012993502660223
0.06,1.0734036736481505,1.0699091178291915,1.0588360760146323,1.0373639096361853,1.0005630313153937
0.08,1.0625933431361698,1.0645323601639662,1.0572933057050329,1.0375112611610608,0.9997935449900548
0.1,1.0501856781737549,1.0584854807591768,1.0554402074054823,1.037650201695514,0.9990297496091964
0.12,1.0355894560654673,1.0516500794958583,1.053392394045099,1.0377360311345152,0.9982306143991482
0.14,1.0178851627570533,1.0436976578478576,1.0510484179707258,1.0377920555254119,0.9973801357149545
0.16,0.9964925560669874,1.034212666971517,1.0484167960491944,1.0378578593636887,0.9965139149738687
0.18,0.9706896269632496,1.0226595057799515,1.0452786726474104,1.0379357012824801,0.9956543473141818
0.2,0.9400093422263281,1.009290305351397,1.0415851088029207,1.038066002996567,0.9947881321034294
0.22,0.9022729487431471,0.9934907143980302,1.0370883315066155,1.03816117968658,0.9939524649420761
0.24,0.8561821060692897,0.9754086729447295,1.0320003008841487,1.0382542635833722,0.993177039317551
0.26,0.8006428698711471,0.9535805275471423,1.0259524187155311,1.0382797032876876,0.9924175929389251
0.28,0.734540237914387,0.9275288853786964,1.0191588992193132,1.0382336820833744,0.9916523315728029
0.3,0.6581057358519533,0.8966216969474051,1.0117833604350177,1.0381286296921344,0.9908883699478219
0.32,0.5729022928289023,0.8606294726568129,1.0030167484707497,1.037993063119601,0.9901750596345966
0.34,0.4886077868893568,0.81950762260543,0.9928006687304489,1.0378444195418302,0.9894575846561212
0.36,0.4194123181436814,0.773070145994269,0.9810072947471484,1.0376631983298603,0.9887892702831512
0.38,0.37261220452940685,0.7215001640841966,0.9672040532014948,1.0376189731941605,0.98813864223235
0.4,0.3433371915479013,0.6676811363672512,0.9517088265273406,1.0378047025306698,0.987551793430898
0.42,0.323960097549038,0.6167712437806963,0.9344405975946759,1.0379410239219404,0.9870146083681435
0.44,0.3107382951458968,0.5746171569246459,0.9153512906710408,1.038182603526189,0.9865924467553355
0.46,0.3014087335229828,0.5445704675465944,0.8944085895850487,1.0385278021081827,0.9863356853108901
0.48,0.29455258499634285,0.5244786351863409,0.8717624288671976,1.0389579068841643,0.9862802179891379
0.5,0.28897843454597744,0.5106883837128289,0.8476006132964222,1.039339279119522,0.9863599069489623
